started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2019-08-01 08:47:15.479000+00:00,2019-08-01 09:01:51.809000+00:00,876,344,Marchmont Crescent,Corner of Marchmont Crescent & Marchmont Road,55.9363975,-3.194252203,225,Waverley Court,On Waverley Court forecourt,55.9517345,-3.184178535
2019-08-01 08:55:43.378000+00:00,2019-08-01 08:58:01.628000+00:00,138,887,Roseburn Street,Corner of Roseburn Street & Russell Gardens,55.94446626,-3.234541218,887,Roseburn Street,Corner of Roseburn Street & Russell Gardens,55.94446626,-3.234541218
2019-08-01 08:57:33.704000+00:00,2019-08-01 09:10:43.751000+00:00,790,345,Colinton Road,Colinton Road next to Napier University,55.93339777,-3.212428647,254,Kings Building 3,Kings Building House,55.92347881,-3.175384585
2019-08-01 08:58:22.507000+00:00,2019-08-01 09:31:06.165000+00:00,1963,887,Roseburn Street,Corner of Roseburn Street & Russell Gardens,55.94446626,-3.234541218,366,Dudley Gardens,Corner of Dudley Gardens on Newhaven Road,55.97592063,-3.191346079
2019-08-01 09:09:59.869000+00:00,2019-08-01 09:18:27.283000+00:00,507,246,Royal Commonwealth Pool,Royal Commonwealth Pool Entrance,55.93900025,-3.173923554,1017,Crichton Street,East end of street,55.94475574,-3.186916974
2019-08-01 09:11:32.749000+00:00,2019-08-01 09:24:54.121000+00:00,801,249,Fountainbridge,Fountainbridge by Gardner's Crescent,55.94335693,-3.209247502,246,Royal Commonwealth Pool,Royal Commonwealth Pool Entrance,55.93900025,-3.173923554
2019-08-01 09:27:57.999000+00:00,2019-08-01 09:31:53.523000+00:00,235,357,Macdonald Road,Macdonald Road,55.96399515,-3.185188768,262,Canonmills,near Tesco's,55.96280409,-3.196283585
2019-08-01 09:34:40.390000+00:00,2019-08-01 12:31:57.721000+00:00,10637,262,Canonmills,near Tesco's,55.96280409,-3.196283585,262,Canonmills,near Tesco's,55.96280409,-3.196283585
2019-08-01 09:36:06.158000+00:00,2019-08-01 09:58:26.829000+00:00,1340,250,Victoria Quay,Entrance to Scottish Government Office,55.97761715,-3.174126319,866,Comely Bank Road,Between trees on Comely Bank Road,55.95940687,-3.215659821
2019-08-01 09:41:17.200000+00:00,2019-08-01 10:07:35.662000+00:00,1578,260,Lauriston Place,near Chalmers Street,55.94477165,-3.197265856,260,Lauriston Place,near Chalmers Street,55.94477165,-3.197265856
2019-08-01 09:41:54.560000+00:00,2019-08-01 10:07:31.778000+00:00,1537,260,Lauriston Place,near Chalmers Street,55.94477165,-3.197265856,260,Lauriston Place,near Chalmers Street,55.94477165,-3.197265856
2019-08-01 09:42:58.803000+00:00,2019-08-01 09:50:28.834000+00:00,450,259,St Andrew Square,North East corner,55.95490573,-3.192443757,355,Inverleith Row,Corner of Inverleith Row & Inverleith Terrace,55.9641456,-3.202073561
2019-08-01 09:45:54.909000+00:00,2019-08-01 09:57:07.852000+00:00,672,265,Meadows East,Melville Terrace,55.93980947,-3.182738851,254,Kings Building 3,Kings Building House,55.92347881,-3.175384585
2019-08-01 09:46:13.549000+00:00,2019-08-01 10:01:00.912000+00:00,887,345,Colinton Road,Colinton Road next to Napier University,55.93339777,-3.212428647,248,Bristo Square,"Bristo Square, near Potterrow",55.94583372,-3.189053072
2019-08-01 09:50:08.775000+00:00,2019-08-01 10:16:10.367000+00:00,1561,252,Kings Buildings 1,Grant Institute,55.92418541,-3.17383083,189,City Chambers,City Chambers Quadrangle,55.95010933,-3.19025777
2019-08-01 09:51:51.938000+00:00,2019-08-01 11:00:56.160000+00:00,4144,349,Orchard Brae House,Outside Orchard Brae House on Queensferry Road,55.95508277,-3.223634264,355,Inverleith Row,Corner of Inverleith Row & Inverleith Terrace,55.9641456,-3.202073561
2019-08-01 09:52:21.018000+00:00,2019-08-01 11:01:30.995000+00:00,4149,349,Orchard Brae House,Outside Orchard Brae House on Queensferry Road,55.95508277,-3.223634264,355,Inverleith Row,Corner of Inverleith Row & Inverleith Terrace,55.9641456,-3.202073561
2019-08-01 09:53:13.559000+00:00,2019-08-01 10:19:49.457000+00:00,1595,349,Orchard Brae House,Outside Orchard Brae House on Queensferry Road,55.95508277,-3.223634264,248,Bristo Square,"Bristo Square, near Potterrow",55.94583372,-3.189053072
2019-08-01 09:53:30.837000+00:00,2019-08-01 10:51:00.920000+00:00,3450,882,EICC,Between planters next to EICC,55.94604282,-3.210484908,246,Royal Commonwealth Pool,Royal Commonwealth Pool Entrance,55.93900025,-3.173923554
2019-08-01 09:54:55.407000+00:00,2019-08-01 10:21:12.006000+00:00,1576,349,Orchard Brae House,Outside Orchard Brae House on Queensferry Road,55.95508277,-3.223634264,248,Bristo Square,"Bristo Square, near Potterrow",55.94583372,-3.189053072
2019-08-01 09:54:55.733000+00:00,2019-08-01 10:08:31.870000+00:00,816,254,Kings Building 3,Kings Building House,55.92347881,-3.175384585,1017,Crichton Street,East end of street,55.94475574,-3.186916974
